state,mvd,srs,rhizotomy,glycerol_rhizotomy,botox,none_of_above,total,census_region
Ohio,319,79,66,169,231,20960,21746,East North Central
Texas,406,134,50,259,170,19777,20732,West South Central
Florida,412,67,192,246,97,17342,18178,South Atlantic
Pennsylvania,267,158,23,181,124,17398,18076,Middle Atlantic
California,453,66,73,94,120,14435,15192,Pacific
North Carolina,200,58,5,56,129,14020,14442,South Atlantic
New York,95,29,81,232,107,13678,14139,Middle Atlantic
Michigan,107,13,25,47,45,11450,11672,East North Central
Virginia,78,49,5,77,80,11241,11515,South Atlantic
Illinois,110,20,17,127,62,10989,11300,East North Central
Wisconsin,51,5,22,235,53,7635,7982,East North Central
South Carolina,158,125,5,91,58,7243,7648,South Atlantic
Massachusetts,22,164,5,19,37,7027,7259,New England
Georgia,119,109,43,75,71,6476,6846,South Atlantic
Kentucky,85,81,16,43,29,6464,6696,East South Central
Colorado,27,84,5,42,70,6463,6680,Mountain
Minnesota,62,5,46,5,71,6114,6300,West North Central
Connecticut,54,65,5,31,71,5928,6137,New England
Indiana,30,5,5,21,14,5770,5842,East North Central
New Jersey,93,55,5,47,29,5580,5782,Middle Atlantic
Louisiana,24,44,5,46,67,5266,5436,West South Central
Oregon,61,5,65,64,22,5234,5386,Pacific
Iowa,51,26,5,5,22,4209,4314,West North Central
Mississippi,32,14,5,5,24,4166,4241,East South Central
Maryland,23,5,5,5,5,3602,3641,South Atlantic
Washington,38,5,20,21,21,3442,3521,Pacific
Tennessee,33,5,5,14,5,2730,2787,East South Central
Missouri,39,42,19,23,17,2557,2679,West North Central
Arizona,11,5,5,24,5,2559,2600,Mountain
Kansas,44,32,14,18,16,2483,2590,West North Central
Arkansas,43,5,5,68,30,2405,2545,West South Central
Oklahoma,53,11,5,32,5,2396,2495,West South Central
Utah,24,31,30,5,21,2215,2314,Mountain
West Virginia,40,44,5,28,19,2155,2280,South Atlantic
Idaho,93,15,5,11,22,2120,2256,Mountain
Maine,31,32,5,46,5,1953,2055,New England
Nebraska,14,5,5,24,16,1777,1837,West North Central
New Hampshire,26,32,5,15,5,1445,1526,New England
Nevada,17,5,5,5,5,1400,1441,Mountain
Rhode Island,26,5,5,5,14,1245,1295,New England
Alabama,5,5,5,5,5,1273,1290,East South Central
North Dakota,19,5,5,5,5,1249,1282,West North Central
Hawaii,19,5,5,5,5,1205,1235,Pacific
Montana,14,5,5,5,5,996,1019,Mountain
Vermont,20,13,5,5,5,888,924,New England
Delaware,22,5,5,5,5,851,889,South Atlantic
South Dakota,11,5,5,5,5,751,766,West North Central
New Mexico,37,16,5,5,5,628,684,Mountain
Wyoming,5,5,5,5,5,418,438,Mountain
District of Columbia,5,5,5,5,5,136,139,South Atlantic
Alaska,5,5,5,5,5,18,19,Pacific
