State,Abbrev,TN Patients,Population,"Per 100,000",Census Region
Ohio,OH,"21,746","11,785,935",184.5,East North Central
Connecticut,CT,"6,137","3,617,176",169.7,New England
North Dakota,ND,"1,282","783,926",163.5,West North Central
Kentucky,KY,"6,696","4,526,154",147.9,East South Central
Maine,ME,"2,055","1,395,722",147.2,New England
Mississippi,MS,"4,241","2,939,690",144.3,East South Central
Vermont,VT,924,"647,464",142.7,New England
South Carolina,SC,"7,648","5,373,555",142.3,South Atlantic
Pennsylvania,PA,"18,076","12,961,683",139.5,Middle Atlantic
Wisconsin,WI,"7,982","5,910,955",135.0,East North Central
Iowa,IA,"4,314","3,207,004",134.5,West North Central
North Carolina,NC,"14,442","10,835,491",133.3,South Atlantic
Virginia,VA,"11,515","8,683,619",132.6,South Atlantic
West Virginia,WV,"2,280","1,770,071",128.8,South Atlantic
Oregon,OR,"5,386","4,233,358",127.2,Pacific
Louisiana,LA,"5,436","4,573,749",118.9,West South Central
Rhode Island,RI,"1,295","1,095,962",118.2,New England
Michigan,MI,"11,672","10,037,261",116.3,East North Central
Idaho,ID,"2,256","1,964,726",114.8,Mountain
Colorado,CO,"6,680","5,877,610",113.7,Mountain
Minnesota,MN,"6,300","5,737,915",109.8,West North Central
New Hampshire,NH,"1,526","1,402,054",108.8,New England
Massachusetts,MA,"7,259","7,001,399",103.7,New England
Nebraska,NE,"1,837","1,978,379",92.9,West North Central
Illinois,IL,"11,300","12,516,863",90.3,East North Central
Montana,MT,"1,019","1,132,812",90.0,Mountain
Kansas,KS,"2,590","2,940,546",88.1,West North Central
Delaware,DE,889,"1,031,890",86.2,South Atlantic
Hawaii,HI,"1,235","1,435,138",86.1,Pacific
Indiana,IN,"5,842","6,862,199",85.1,East North Central
South Dakota,SD,766,"919,318",83.3,West North Central
Arkansas,AR,"2,545","3,067,732",83.0,West South Central
Florida,FL,"18,178","23,372,215",77.8,South Atlantic
Wyoming,WY,438,"584,057",75.0,Mountain
New York,NY,"14,139","19,571,216",72.2,Middle Atlantic
Texas,TX,"20,732","30,503,301",68.0,West South Central
Utah,UT,"2,314","3,417,734",67.7,Mountain
New Jersey,NJ,"5,782","9,290,841",62.2,Middle Atlantic
Georgia,GA,"6,846","11,029,227",62.1,South Atlantic
Oklahoma,OK,"2,495","4,053,824",61.5,West South Central
Maryland,MD,"3,641","6,180,253",58.9,South Atlantic
Nevada,NV,"1,441","3,194,176",45.1,Mountain
Washington,WA,"3,521","7,812,880",45.1,Pacific
Missouri,MO,"2,679","6,196,156",43.2,West North Central
Tennessee,TN,"2,787","7,126,489",39.1,East South Central
California,CA,"15,192","38,965,193",39.0,Pacific
Arizona,AZ,"2,600","7,431,344",35.0,Mountain
New Mexico,NM,684,"2,114,371",32.4,Mountain
Alabama,AL,"1,290","5,108,468",25.3,East South Central
District of Columbia,DC,139,"678,972",20.5,South Atlantic
Alaska,AK,19,"733,406",2.6,Pacific
